#'Trial 8: e = [-1.5, 1.5] with 2251 points and sig = 0.0038'
#
#Laurentian,Gaussian,Convoluted Data,Convoluted Data with noise
1.414647732028757269e-03,0.000000000000000000e+00,8.091783654399473157e-04,8.081045509165826713e-04
1.417165906429745459e-03,0.000000000000000000e+00,9.968212201278514421e-04,9.549166957603789875e-04
1.419690810516395030e-03,0.000000000000000000e+00,1.153401754219347212e-03,1.116360567076726124e-03
1.422222468289359009e-03,0.000000000000000000e+00,1.269251130461706645e-03,1.203586048032162428e-03
1.424760903856376422e-03,0.000000000000000000e+00,1.345473004593685700e-03,1.353663057869081664e-03
1.427306141432849737e-03,0.000000000000000000e+00,1.390374789571553532e-03,1.318963452939605130e-03
1.429858205342421666e-03,0.000000000000000000e+00,1.414453020219572739e-03,1.487221232512432427e-03
1.432417120017554554e-03,0.000000000000000000e+00,1.426684015558998646e-03,1.469141502388768153e-03
1.434982910000116071e-03,0.000000000000000000e+00,1.433092095642331037e-03,1.523592580687753353e-03
1.437555599941969667e-03,0.000000000000000000e+00,1.437014345339928008e-03,1.448447907459525117e-03
1.440135214605563077e-03,0.000000000000000000e+00,1.440013106931948943e-03,1.382426854905840965e-03
1.442721778864525933e-03,0.000000000000000000e+00,1.442714822723656668e-03,1.484487699689143476e-03
1.445315317704270845e-03,0.000000000000000000e+00,1.445336391330662943e-03,1.432599123680995679e-03
1.447915856222593183e-03,0.000000000000000000e+00,1.447943026206286636e-03,1.443938551041728602e-03
1.450523419630281264e-03,0.000000000000000000e+00,1.450551829881965458e-03,1.367027484537076303e-03
1.453138033251726545e-03,0.000000000000000000e+00,1.453166737653040306e-03,1.419792553291049060e-03
1.455759722525537493e-03,0.000000000000000000e+00,1.455788559018986227e-03,1.495765714180188541e-03
1.458388513005159318e-03,0.000000000000000000e+00,1.458417457464229522e-03,1.420808315865164503e-03
1.461024430359496740e-03,0.000000000000000000e+00,1.461053479973396449e-03,1.507038938735187714e-03
1.463667500373539354e-03,0.000000000000000000e+00,1.463696655229906364e-03,1.455226301786065757e-03
1.466317748948992852e-03,0.000000000000000000e+00,1.466347009484307443e-03,1.469817615920517712e-03
1.468975202104915237e-03,0.000000000000000000e+00,1.469004568794711517e-03,1.534673024940013883e-03
1.471639885978351728e-03,0.000000000000000000e+00,1.471669359304158360e-03,1.383703981255608685e-03
1.474311826824980295e-03,0.000000000000000000e+00,1.474341407271229868e-03,1.484408159053878353e-03
1.476991051019758928e-03,0.000000000000000000e+00,1.477020739073545532e-03,1.528443676033879907e-03
1.479677585057573123e-03,0.000000000000000000e+00,1.479707381208653430e-03,1.422547274425435852e-03
1.482371455553892908e-03,0.000000000000000000e+00,1.482401360294702004e-03,1.526333461542855744e-03
1.485072689245434422e-03,0.000000000000000000e+00,1.485102703071099466e-03,1.431067934906491475e-03
1.487781312990817378e-03,0.000000000000000000e+00,1.487811436399179288e-03,1.579759591638456133e-03
1.490497353771239215e-03,0.000000000000000000e+00,1.490527587262866112e-03,1.400793279630271632e-03
1.493220838691141890e-03,0.000000000000000000e+00,1.493251182769349044e-03,1.476452497160136035e-03
1.495951794978889931e-03,0.000000000000000000e+00,1.495982250149756896e-03,1.533380973983734579e-03
1.498690249987452835e-03,0.000000000000000000e+00,1.498720816759839926e-03,1.483614232345612004e-03
1.501436231195086603e-03,0.000000000000000000e+00,1.501466910080654412e-03,1.544046724282847546e-03
1.504189766206024802e-03,0.000000000000000000e+00,1.504220557719251113e-03,1.526305693856776008e-03
1.506950882751172463e-03,0.000000000000000000e+00,1.506981787409370898e-03,1.453816422781520432e-03
1.509719608688802998e-03,0.000000000000000000e+00,1.509750627012141234e-03,1.507671346554479916e-03
1.512495972005262288e-03,0.000000000000000000e+00,1.512527104516779618e-03,1.482406533773740834e-03
1.515280000815675144e-03,0.000000000000000000e+00,1.515311248041302647e-03,1.509099215041204319e-03
1.518071723364657413e-03,0.000000000000000000e+00,1.518103085833234214e-03,1.511436140286959032e-03
1.520871168027030252e-03,0.000000000000000000e+00,1.520902646270325641e-03,1.579434861593049296e-03
1.523678363308545673e-03,0.000000000000000000e+00,1.523709957861274066e-03,1.479172970484833724e-03
1.526493337846606888e-03,0.000000000000000000e+00,1.526525049246450164e-03,1.462524114595141304e-03
1.529316120411001231e-03,0.000000000000000000e+00,1.529347949198627162e-03,1.551555440197366657e-03
1.532146739904637197e-03,0.000000000000000000e+00,1.532178686623717227e-03,1.586211393918744109e-03
1.534985225364279750e-03,0.000000000000000000e+00,1.535017290561509597e-03,1.538216681817617575e-03
1.537831605961297553e-03,0.000000000000000000e+00,1.537863790186418242e-03,1.473567975093161659e-03
1.540685911002413451e-03,0.000000000000000000e+00,1.540718214808228662e-03,1.559443465064179208e-03
1.543548169930456047e-03,0.000000000000000000e+00,1.543580593872853580e-03,1.553841203227847995e-03
1.546418412325120803e-03,0.000000000000000000e+00,1.546450956963092097e-03,1.625078868647667320e-03
1.549296667903734192e-03,0.000000000000000000e+00,1.549329333799395140e-03,1.507999015503167211e-03
1.552182966522021963e-03,0.000000000000000000e+00,1.552215754240632208e-03,1.660068459533518012e-03
1.555077338174883257e-03,0.000000000000000000e+00,1.555110248284868098e-03,1.621257735993710068e-03
1.557979812997171455e-03,0.000000000000000000e+00,1.558012846070140709e-03,1.539279112943995470e-03
1.560890421264476751e-03,0.000000000000000000e+00,1.560923577875247955e-03,1.624507164552112031e-03
1.563809193393915454e-03,0.000000000000000000e+00,1.563842474120533598e-03,1.600989980447566378e-03
1.566736159944927742e-03,0.000000000000000000e+00,1.566769565368685436e-03,1.595962712976417954e-03
1.569671351620073032e-03,0.000000000000000000e+00,1.569704882325533490e-03,1.543399502489657075e-03
1.572614799265837065e-03,0.000000000000000000e+00,1.572648455840855572e-03,1.559027657287125491e-03
1.575566533873444834e-03,0.000000000000000000e+00,1.575600316909188479e-03,1.556337276730552621e-03
1.578526586579671138e-03,0.000000000000000000e+00,1.578560496670643101e-03,1.589898808910486733e-03
1.581494988667665877e-03,0.000000000000000000e+00,1.581529026411725592e-03,1.520749997410834322e-03
1.584471771567779125e-03,0.000000000000000000e+00,1.584505937566165054e-03,1.546101801191207157e-03
1.587456966858392720e-03,0.000000000000000000e+00,1.587491261715744898e-03,1.672585563599116899e-03
1.590450606266757046e-03,0.000000000000000000e+00,1.590485030591139853e-03,1.578814911568311502e-03
1.593452721669837147e-03,0.000000000000000000e+00,1.593487276072759473e-03,1.569451762452589048e-03
1.596463345095156666e-03,0.000000000000000000e+00,1.596498030191598368e-03,1.637424893066102144e-03
1.599482508721655240e-03,0.000000000000000000e+00,1.599517325130088820e-03,1.537278192416286675e-03
1.602510244880548697e-03,0.000000000000000000e+00,1.602545193222960126e-03,1.575713774959461473e-03
1.605546586056191653e-03,0.000000000000000000e+00,1.605581666958106604e-03,1.572830496389942710e-03
1.608591564886950077e-03,0.000000000000000000e+00,1.608626778977457344e-03,1.637188565722707753e-03
1.611645214166081011e-03,0.000000000000000000e+00,1.611680562077853329e-03,1.719157891304818166e-03
1.614707566842610341e-03,0.000000000000000000e+00,1.614743049211931703e-03,1.560550096995802190e-03
1.617778656022225746e-03,0.000000000000000000e+00,1.617814273489014392e-03,1.539291234360106982e-03
1.620858514968170298e-03,0.000000000000000000e+00,1.620894268176000614e-03,1.662687669365556621e-03
1.623947177102141480e-03,0.000000000000000000e+00,1.623983066698271756e-03,1.640028808026590271e-03
1.627044676005199317e-03,0.000000000000000000e+00,1.627080702640595162e-03,1.622576503266156102e-03
1.630151045418680141e-03,0.000000000000000000e+00,1.630187209748037687e-03,1.682781443595602255e-03
1.633266319245112522e-03,0.000000000000000000e+00,1.633302621926885530e-03,1.711472045656620969e-03
1.636390531549143830e-03,0.000000000000000000e+00,1.636426973245569275e-03,1.690148412282378417e-03
1.639523716558473083e-03,0.000000000000000000e+00,1.639560297935593490e-03,1.547603514750721040e-03
1.642665908664784442e-03,0.000000000000000000e+00,1.642702630392476075e-03,1.627439415415566151e-03
1.645817142424694157e-03,0.000000000000000000e+00,1.645854005176692605e-03,1.604939040686224894e-03
1.648977452560700325e-03,0.000000000000000000e+00,1.649014457014624574e-03,1.576591501674418820e-03
1.652146873962136988e-03,0.000000000000000000e+00,1.652184020799517608e-03,1.713909211137356519e-03
1.655325441686138861e-03,0.000000000000000000e+00,1.655362731592444460e-03,1.621039337247465531e-03
1.658513190958611685e-03,0.000000000000000000e+00,1.658550624623272764e-03,1.708972823448370914e-03
1.661710157175205196e-03,0.000000000000000000e+00,1.661747735291644072e-03,1.597283792802832187e-03
1.664916375902297796e-03,0.000000000000000000e+00,1.664954099167954621e-03,1.588878879559642082e-03
1.668131882877986211e-03,0.000000000000000000e+00,1.668169751994344344e-03,1.700589326681121788e-03
1.671356714013078407e-03,0.000000000000000000e+00,1.671394729685694554e-03,1.641036622235126936e-03
1.674590905392098423e-03,0.000000000000000000e+00,1.674629068330629311e-03,1.665903402823030186e-03
1.677834493274297069e-03,0.000000000000000000e+00,1.677872804192524813e-03,1.743631372934809163e-03
1.681087514094663704e-03,0.000000000000000000e+00,1.681125973710528116e-03,1.646117718553344539e-03
1.684350004464953620e-03,0.000000000000000000e+00,1.684388613500578018e-03,1.591959543832020861e-03
1.687622001174716524e-03,0.000000000000000000e+00,1.687660760356435048e-03,1.637683114452274718e-03
1.690903541192333029e-03,0.000000000000000000e+00,1.690942451250721868e-03,1.642136695306700223e-03
1.694194661666058527e-03,0.000000000000000000e+00,1.694233723335964326e-03,1.742507383449121107e-03
1.697495399925077466e-03,0.000000000000000000e+00,1.697534613945644432e-03,1.680377744731375569e-03
1.700805793480557847e-03,0.000000000000000000e+00,1.700845160595259621e-03,1.698226225190860262e-03
1.704125880026718725e-03,0.000000000000000000e+00,1.704165400983386576e-03,1.614200738540413601e-03
1.707455697441903793e-03,0.000000000000000000e+00,1.707495372992756753e-03,1.665526279918379997e-03
1.710795283789660155e-03,0.000000000000000000e+00,1.710835114691335599e-03,1.724919451290544102e-03
1.714144677319828173e-03,0.000000000000000000e+00,1.714184664333410438e-03,1.716111009984179481e-03
1.717503916469633905e-03,0.000000000000000000e+00,1.717544060360687037e-03,1.761029543944571136e-03
1.720873039864792391e-03,0.000000000000000000e+00,1.720913341403390931e-03,1.776122640104512351e-03
1.724252086320621777e-03,0.000000000000000000e+00,1.724292546281378305e-03,1.791721751196445568e-03
1.727641094843155277e-03,0.000000000000000000e+00,1.727681714005255753e-03,1.681390132855701321e-03
1.731040104630269822e-03,0.000000000000000000e+00,1.731080883777503729e-03,1.678232951385620880e-03
1.734449155072821007e-03,0.000000000000000000e+00,1.734490094993611925e-03,1.724289683410053751e-03
