#'Trial 4: e = [-1.5, 1.5] with 2251 points and sig = 0.01'
#
#Laurentian,Gaussian,Convoluted Data,Convoluted Data with noise
1.414647732028757269e-03,0.000000000000000000e+00,7.525570565224994068e-04,7.092387086289343419e-04
1.417165906429745459e-03,0.000000000000000000e+00,8.284859914814246377e-04,8.556408791956953731e-04
1.419690810516395030e-03,0.000000000000000000e+00,9.025887238780328859e-04,9.242337630929119922e-04
1.422222468289359009e-03,0.000000000000000000e+00,9.736678317759698241e-04,9.910834807842921774e-04
1.424760903856376422e-03,0.000000000000000000e+00,1.040684511405578312e-03,1.023253124319656142e-03
1.427306141432849737e-03,0.000000000000000000e+00,1.102803676877810602e-03,1.072296711716988005e-03
1.429858205342421666e-03,0.000000000000000000e+00,1.159422463798284080e-03,1.187181416485341050e-03
1.432417120017554554e-03,0.000000000000000000e+00,1.210180867418405920e-03,1.281284646754535499e-03
1.434982910000116071e-03,0.000000000000000000e+00,1.254955140615979670e-03,1.201898023800949998e-03
1.437555599941969667e-03,0.000000000000000000e+00,1.293836238713707903e-03,1.244058860131042272e-03
1.440135214605563077e-03,0.000000000000000000e+00,1.327096828707558570e-03,1.275405000848047615e-03
1.442721778864525933e-03,0.000000000000000000e+00,1.355151065194878761e-03,1.343972473970623735e-03
1.445315317704270845e-03,0.000000000000000000e+00,1.378511452675469607e-03,1.393978458605776762e-03
1.447915856222593183e-03,0.000000000000000000e+00,1.397746727643552241e-03,1.380844667903700874e-03
1.450523419630281264e-03,0.000000000000000000e+00,1.413443930874735922e-03,1.378447748708979889e-03
1.453138033251726545e-03,0.000000000000000000e+00,1.426176860756245930e-03,1.400107196139560584e-03
1.455759722525537493e-03,0.000000000000000000e+00,1.436482065127959009e-03,1.436129382382043528e-03
1.458388513005159318e-03,0.000000000000000000e+00,1.444842581249023957e-03,1.444277867814457769e-03
1.461024430359496740e-03,0.000000000000000000e+00,1.451678870189603400e-03,1.475316741966412959e-03
1.463667500373539354e-03,0.000000000000000000e+00,1.457345865135984200e-03,1.510530678673636116e-03
1.466317748948992852e-03,0.000000000000000000e+00,1.462134770359852648e-03,1.454578387711746813e-03
1.468975202104915237e-03,0.000000000000000000e+00,1.466278181532284326e-03,1.477858829061310568e-03
1.471639885978351728e-03,0.000000000000000000e+00,1.469957199165119978e-03,1.498260375496130890e-03
1.474311826824980295e-03,0.000000000000000000e+00,1.473309416839258326e-03,1.455322293415619705e-03
1.476991051019758928e-03,0.000000000000000000e+00,1.476436928296776278e-03,1.467009841490430743e-03
1.479677585057573123e-03,0.000000000000000000e+00,1.479413765948982143e-03,1.541443790918345987e-03
1.482371455553892908e-03,0.000000000000000000e+00,1.482292424945279340e-03,1.473569302846475422e-03
1.485072689245434422e-03,0.000000000000000000e+00,1.485109322741792791e-03,1.483607469835175607e-03
1.487781312990817378e-03,0.000000000000000000e+00,1.487889187337847977e-03,1.568657314643477282e-03
1.490497353771239215e-03,0.000000000000000000e+00,1.490648460251367199e-03,1.489523855008703787e-03
1.493220838691141890e-03,0.000000000000000000e+00,1.493397850667457089e-03,1.518528153455426860e-03
1.495951794978889931e-03,0.000000000000000000e+00,1.496144195269526926e-03,1.553933312605677852e-03
