     X         I1 (Y=0.3254)     Error1      I2 (Y=0.4002)     Error2      I3 (Y=0.4999)     Error3      I4 (Y=0.5963)     Error4      I5 (Y=0.6986)     Error5      I6 (Y=0.7998)     Error6      I7 (Y=0.9002)     Error7       I8 (Y=1.000)     Error8       I9 (Y=1.100)     Error9      I10 (Y=1.200)    Error10      I11 (Y=1.300)    Error11      I12 (Y=1.400)    Error12      I13 (Y=1.500)    Error13      I14 (Y=1.600)    Error14      I15 (Y=1.700)    Error15      I16 (Y=1.801)    Error16      I17 (Y=1.901)    Error17      I18 (Y=2.001)    Error18      I19 (Y=2.075)    Error19    
-1.83950E+000   6.40278E-001   8.13388E-001   1.98835E+000   1.37317E+000   1.32030E+000   1.02830E+000   2.62597E-001   3.46107E-001   6.81631E-002   3.37356E-002   9.10024E-002   4.52246E-002   7.92170E-002   4.36624E-002   1.05090E-001   5.06963E-002   1.16833E-001   5.33504E-002   1.26604E-001   5.48431E-002   1.68536E-001   6.20681E-002   1.51770E-001   5.96512E-002   1.40151E-001   5.57545E-002   1.69690E-001   6.02920E-002   2.02678E-001   6.66203E-002   1.60869E-001   5.75527E-002   1.51779E-001   5.49296E-002   1.71055E-001   6.19049E-002   1.78165E-001   7.59079E-002
-1.82440E+000   5.35289E-001   7.37651E-001   1.94391E+000   1.39744E+000   1.23799E+000   9.91204E-001   3.00217E-001   3.77076E-001   7.43317E-002   3.31507E-002   8.88158E-002   4.20942E-002   1.48566E-001   6.00359E-002   1.42289E-001   5.91136E-002   1.12134E-001   5.23116E-002   1.29916E-001   5.57492E-002   1.81008E-001   6.43142E-002   1.65539E-001   6.22454E-002   1.39059E-001   5.57336E-002   1.33246E-001   5.38385E-002   1.66983E-001   6.05414E-002   1.78919E-001   6.06172E-002   1.45525E-001   5.37390E-002   1.80039E-001   6.34637E-002   1.78544E-001   7.45800E-002
-1.80938E+000   1.13534E+000   1.58945E+000   1.66602E+000   1.40245E+000   1.06131E+000   8.54941E-001   2.71575E-001   3.09128E-001   8.33534E-002   3.45729E-002   7.32199E-002   3.70155E-002   9.39539E-002   4.73869E-002   1.03804E-001   5.06742E-002   1.24472E-001   5.51653E-002   1.12583E-001   5.14752E-002   1.45771E-001   5.86512E-002   1.55281E-001   5.94161E-002   1.54428E-001   5.88472E-002   1.35604E-001   5.54475E-002   1.52086E-001   5.76439E-002   1.81341E-001   6.07326E-002   1.47870E-001   5.38923E-002   1.67372E-001   6.34794E-002   2.21756E-001   8.63869E-002
-1.79442E+000   2.92327E+000   2.75430E+000   2.23546E+000   1.78915E+000   9.10815E-001   8.66755E-001   1.70695E-001   2.01696E-001   7.94936E-002   3.22450E-002   6.82622E-002   3.47861E-002   7.00528E-002   4.07211E-002   1.22182E-001   5.52255E-002   1.14445E-001   5.28575E-002   1.16605E-001   5.22420E-002   1.24725E-001   5.45259E-002   1.21052E-001   5.24079E-002   1.47300E-001   5.78115E-002   1.36349E-001   5.55194E-002   1.52024E-001   5.69861E-002   1.38305E-001   5.35131E-002   1.59924E-001   5.71773E-002   2.10365E-001   7.05594E-002   2.55255E-001   9.37561E-002
-1.77952E+000   1.73749E+000   1.75779E+000   3.14714E+000   1.97644E+000   9.97185E-001   9.89062E-001   1.34721E-001   1.33512E-001   6.66735E-002   3.17960E-002   5.92576E-002   3.49134E-002   1.05371E-001   5.06238E-002   1.10903E-001   5.23244E-002   8.54072E-002   4.57185E-002   1.10300E-001   5.20557E-002   1.10645E-001   5.16642E-002   1.19431E-001   5.21838E-002   1.24148E-001   5.29679E-002   9.59903E-002   4.63643E-002   1.26980E-001   5.19298E-002   1.26371E-001   5.14186E-002   1.47475E-001   5.54315E-002   1.52120E-001   5.97790E-002   1.53883E-001   7.13598E-002
-1.76470E+000   1.58480E+000   1.52358E+000   2.58906E+000   1.70780E+000   1.07776E+000   9.64471E-001   1.29209E-001   1.36645E-001   7.56640E-002   3.66799E-002   8.13333E-002   4.25721E-002   7.96789E-002   4.36897E-002   9.91254E-002   4.87406E-002   1.06254E-001   5.15947E-002   1.46674E-001   6.06853E-002   1.43610E-001   5.89391E-002   1.33718E-001   5.55803E-002   1.31014E-001   5.44422E-002   1.19561E-001   5.19965E-002   1.17914E-001   5.03749E-002   1.41802E-001   5.42356E-002   1.47042E-001   5.52595E-002   1.46605E-001   5.77610E-002   1.33956E-001   6.57837E-002
-1.74994E+000   2.76370E+000   2.34178E+000   2.65511E+000   1.83778E+000   9.42785E-001   9.38420E-001   1.23974E-001   1.43901E-001   6.27159E-002   3.24581E-002   7.52065E-002   3.93488E-002   8.98468E-002   4.57450E-002   8.63689E-002   4.62410E-002   1.02526E-001   5.06793E-002   1.24157E-001   5.55953E-002   1.28856E-001   5.52976E-002   1.38998E-001   5.75661E-002   1.49417E-001   5.82484E-002   1.24476E-001   5.24534E-002   1.29354E-001   5.31740E-002   1.79032E-001   6.06342E-002   1.30889E-001   5.13957E-002   1.63061E-001   6.16279E-002   1.71896E-001   7.34492E-002
-1.73523E+000   1.60235E+000   1.52460E+000   2.76690E+000   1.83533E+000   1.13161E+000   9.74842E-001   1.76563E-001   1.75095E-001   5.99553E-002   3.01565E-002   9.36931E-002   4.34567E-002   1.20686E-001   5.42201E-002   7.48019E-002   4.35916E-002   9.35745E-002   4.86716E-002   9.24385E-002   4.75019E-002   1.31261E-001   5.55751E-002   1.57959E-001   6.18748E-002   1.41327E-001   5.69057E-002   1.34666E-001   5.46501E-002   1.97020E-001   6.67835E-002   1.67171E-001   5.94520E-002   1.37295E-001   5.23082E-002   1.50740E-001   5.96047E-002   1.68025E-001   7.47181E-002
-1.72060E+000   7.15228E-001   7.89453E-001   1.70017E+000   1.23821E+000   9.96049E-001   8.22349E-001   2.12246E-001   1.75700E-001   8.09234E-002   3.38669E-002   7.73965E-002   3.98498E-002   1.26812E-001   5.61845E-002   8.89164E-002   4.78903E-002   9.55250E-002   4.93740E-002   1.05747E-001   5.07980E-002   1.53168E-001   6.01634E-002   1.40961E-001   5.82035E-002   1.38233E-001   5.54706E-002   1.24834E-001   5.33422E-002   1.94847E-001   6.67928E-002   1.77937E-001   6.15439E-002   1.72513E-001   5.87157E-002   1.99803E-001   6.82751E-002   1.97230E-001   8.24634E-002
-1.70603E+000   1.67979E+000   2.08236E+000   2.05438E+000   1.60416E+000   7.57738E-001   6.27365E-001   1.77166E-001   1.24854E-001   7.31367E-002   3.31917E-002   7.74803E-002   4.12102E-002   1.16285E-001   5.43259E-002   1.48657E-001   6.20139E-002   9.79014E-002   4.99719E-002   1.20149E-001   5.35761E-002   1.30703E-001   5.63311E-002   1.20503E-001   5.32011E-002   1.03111E-001   4.86948E-002   1.13333E-001   5.10243E-002   1.81550E-001   6.33235E-002   1.75753E-001   6.09290E-002   1.61528E-001   5.81358E-002   1.80982E-001   6.66873E-002   2.34372E-001   9.00242E-002
