#'Trial 5: e = [-1.5, 1.5] with 2048 points and sig = 0.01'
#
#Laurentian,Gaussian,Convoluted Data,Convoluted Data with noise
1.414647732028757269e-03,0.000000000000000000e+00,7.142490143266538210e-04,7.324473980496045648e-04
1.417415998956953610e-03,0.000000000000000000e+00,7.981425198150264751e-04,8.222104871386970871e-04
1.420192399385963996e-03,0.000000000000000000e+00,8.804487329597204077e-04,8.799108751511769194e-04
1.422976965209483144e-03,0.000000000000000000e+00,9.595228067610574608e-04,9.631284655784257999e-04
1.425769728477687152e-03,0.000000000000000000e+00,1.033926953283287493e-03,1.002264794528136532e-03
1.428570721398154421e-03,0.000000000000000000e+00,1.102508622467628747e-03,1.081002070997792892e-03
1.431379976336795250e-03,0.000000000000000000e+00,1.164450422597858434e-03,1.176492922927452681e-03
1.434197525818787936e-03,0.000000000000000000e+00,1.219288757451936038e-03,1.228376887051123734e-03
1.437023402529516609e-03,0.000000000000000000e+00,1.266902179663321418e-03,1.258033824956639440e-03
1.439857639315523163e-03,0.000000000000000000e+00,1.307473977162941677e-03,1.329210045831055904e-03
1.442700269185459181e-03,0.000000000000000000e+00,1.341436014382647087e-03,1.411795219655663427e-03
1.445551325311046978e-03,0.000000000000000000e+00,1.369402071021793080e-03,1.406622550642000046e-03
1.448410841028048438e-03,0.000000000000000000e+00,1.392098846512328366e-03,1.446374319807890944e-03
1.451278849837239499e-03,0.000000000000000000e+00,1.410301641531784165e-03,1.429211263297111003e-03
1.454155385405389187e-03,0.000000000000000000e+00,1.424779852644848322e-03,1.461974029195418868e-03
1.457040481566250793e-03,0.000000000000000000e+00,1.436255241499200409e-03,1.396071900257406630e-03
1.459934172321553265e-03,0.000000000000000000e+00,1.445373851755308442e-03,1.483708960582135134e-03
1.462836491842005402e-03,0.000000000000000000e+00,1.452690733227836274e-03,1.425842938124079586e-03
1.465747474468304806e-03,0.000000000000000000e+00,1.458665453204647470e-03,1.404090662667081130e-03
1.468667154712150532e-03,0.000000000000000000e+00,1.463665762688418559e-03,1.358599382388329599e-03
1.471595567257269824e-03,0.000000000000000000e+00,1.467976673381710595e-03,1.495796796798326729e-03
1.474532746960445072e-03,0.000000000000000000e+00,1.471812461578924465e-03,1.435228254395169841e-03
1.477478728852553132e-03,0.000000000000000000e+00,1.475329598661389175e-03,1.496291676122276726e-03
1.480433548139609406e-03,0.000000000000000000e+00,1.478639176771349853e-03,1.478762831964750349e-03
1.483397240203816704e-03,0.000000000000000000e+00,1.481817946048347807e-03,1.550285724174382124e-03
1.486369840604629062e-03,0.000000000000000000e+00,1.484917539321532406e-03,1.522183272751756163e-03
1.489351385079815994e-03,0.000000000000000000e+00,1.487971801187478599e-03,1.454313036027419376e-03
1.492341909546534770e-03,0.000000000000000000e+00,1.491002359618503548e-03,1.607149889053105648e-03
1.495341450102415266e-03,0.000000000000000000e+00,1.494022696637827951e-03,1.499363124948026619e-03
1.498350043026648289e-03,0.000000000000000000e+00,1.497041015661706694e-03,1.469026784460171530e-03
1.501367724781080184e-03,0.000000000000000000e+00,1.500062193320494735e-03,1.534913785990230095e-03
1.504394532011321542e-03,0.000000000000000000e+00,1.503089065723583031e-03,1.524817467476047598e-03
1.507430501547855472e-03,0.000000000000000000e+00,1.506123250260291710e-03,1.383306927684558891e-03
1.510475670407160614e-03,0.000000000000000000e+00,1.509165655216431921e-03,1.434496044893201084e-03
1.513530075792840013e-03,0.000000000000000000e+00,1.512216786794075025e-03,1.445975727553985976e-03
1.516593755096753678e-03,0.000000000000000000e+00,1.515276928945523882e-03,1.477498763230720860e-03
1.519666745900166965e-03,0.000000000000000000e+00,1.518346245854318519e-03,1.493327123433770822e-03
1.522749085974900701e-03,0.000000000000000000e+00,1.521424838784304337e-03,1.553484293371900065e-03
1.525840813284491931e-03,0.000000000000000000e+00,1.524512776792521802e-03,1.622152556803375077e-03
1.528941965985365073e-03,0.000000000000000000e+00,1.527610112895825493e-03,1.522089839068339022e-03
1.532052582428004373e-03,0.000000000000000000e+00,1.530716892365259702e-03,1.512567871940930517e-03
1.535172701158145012e-03,0.000000000000000000e+00,1.533833156875310123e-03,1.491482397634421621e-03
1.538302360917963990e-03,0.000000000000000000e+00,1.536958946528495934e-03,1.483857602321177194e-03
1.541441600647281427e-03,0.000000000000000000e+00,1.540094300819376235e-03,1.645817167848491122e-03
1.544590459484775731e-03,0.000000000000000000e+00,1.543239259082765727e-03,1.551687291400062228e-03
1.547748976769201161e-03,0.000000000000000000e+00,1.546393860697487096e-03,1.533928381026583923e-03
1.550917192040614711e-03,0.000000000000000000e+00,1.549558145177168172e-03,1.510490798990604981e-03
1.554095145041617301e-03,0.000000000000000000e+00,1.552732152210149243e-03,1.461443407389702255e-03
1.557282875718596273e-03,0.000000000000000000e+00,1.555915921677026746e-03,1.475249777150515473e-03
1.560480424222983505e-03,0.000000000000000000e+00,1.559109493658619771e-03,1.609349167694311064e-03
1.563687830912519148e-03,0.000000000000000000e+00,1.562312908439927612e-03,1.556862234455267486e-03
1.566905136352522753e-03,0.000000000000000000e+00,1.565526206512461238e-03,1.598107953886127508e-03
1.570132381317178262e-03,0.000000000000000000e+00,1.568749428575928143e-03,1.529743805444829180e-03
1.573369606790825078e-03,0.000000000000000000e+00,1.571982615539675417e-03,1.547460637439594016e-03
1.576616853969258457e-03,0.000000000000000000e+00,1.575225808524041097e-03,1.616140650490753127e-03
1.579874164261042043e-03,0.000000000000000000e+00,1.578479048861684700e-03,1.496916079962242168e-03
1.583141579288824524e-03,0.000000000000000000e+00,1.581742378098909951e-03,1.561590375935833315e-03
