#'Trial 11: e = [-1.5, 1.5] with 2251 points and sig = 0.05'
#
#Laurentian,Gaussian,Convoluted Data,Convoluted Data with noise
1.414647732028757269e-03,2.947292269757430170e-195,7.550080006751185360e-04,7.463090385028423122e-04
1.417165906429745459e-03,6.556987786624110952e-195,7.714345235133797688e-04,7.758148735530470599e-04
1.419690810516395030e-03,1.457728728451224740e-194,7.878755884104938871e-04,7.698650170362175997e-04
1.422222468289359009e-03,3.238472542667228904e-194,8.043205978449961347e-04,8.022009280270560099e-04
1.424760903856376422e-03,7.189437192944371555e-194,8.207589924137178184e-04,8.100034600795577881e-04
1.427306141432849737e-03,1.594926732286632294e-193,8.371802733372597045e-04,8.452445911763498305e-04
1.429858205342421666e-03,3.535719052711923928e-193,8.535740247245811709e-04,8.818584244272664567e-04
1.432417120017554554e-03,7.832599646747377575e-193,8.699299355184359102e-04,8.624358151435605529e-04
1.434982910000116071e-03,1.733904912288010771e-192,8.862378210450210392e-04,8.661822867137905762e-04
1.437555599941969667e-03,3.835621935509148944e-192,9.024876440932182078e-04,9.034487256200553077e-04
1.440135214605563077e-03,8.478860278497909257e-192,9.186695354511810029e-04,8.989768253759502104e-04
1.442721778864525933e-03,1.872967890552014352e-191,9.347738138307300909e-04,8.921807779590512502e-04
1.445315317704270845e-03,4.134417724401367625e-191,9.507910051130806246e-04,9.561895118476662235e-04
1.447915856222593183e-03,9.119888820919991229e-191,9.667118608527694749e-04,9.675770159812374475e-04
1.450523419630281264e-03,2.010276993583097498e-190,9.825273759802989441e-04,1.031819600127386162e-03
1.453138033251726545e-03,4.428059310675267149e-190,9.982288056479265027e-04,9.649687562802367535e-04
1.455759722525537493e-03,9.746801569092750873e-190,1.013807681167178251e-03,1.000301688732858820e-03
1.458388513005159318e-03,2.143887480386712718e-189,1.029255824991031189e-03,1.057819188138551386e-03
1.461024430359496740e-03,4.712300964460964270e-189,1.044565364698260643e-03,1.073477367670923636e-03
1.463667500373539354e-03,1.035035439997408327e-188,1.059728745942177617e-03,1.038354898637377415e-03
1.466317748948992852e-03,2.271792121848661403e-188,1.074738744330806621e-03,1.087115617452069334e-03
1.468975202104915237e-03,4.982796219053785436e-188,1.089588476210533305e-03,1.121429542942878332e-03
1.471639885978351728e-03,1.092116155691934124e-187,1.104271408330252408e-03,1.099901110014075024e-03
1.474311826824980295e-03,2.391969873568315142e-187,1.118781366368129960e-03,1.069398658340354720e-03
1.476991051019758928e-03,5.235205665796659310e-187,1.133112542308180488e-03,1.115079069554084003e-03
1.479677585057573123e-03,1.144993333844925221e-186,1.147259500658920220e-03,1.156033083445430357e-03
1.482371455553892908e-03,2.502438062587816828e-186,1.161217183511400715e-03,1.160095719448931730e-03
1.485072689245434422e-03,5.465311052679181924e-186,1.174980914438881335e-03,1.142540475311560342e-03
1.487781312990817378e-03,1.192772451676266126e-185,1.188546401245258333e-03,1.224426380246929893e-03
1.490497353771239215e-03,2.601306248217115711e-185,1.201909737574124093e-03,1.185352563508276042e-03
1.493220838691141890e-03,5.669131572813371959e-185,1.215067403394907335e-03,1.191846109899683632e-03
1.495951794978889931e-03,1.234618434428186408e-184,1.228016264386986222e-03,1.166381473656768293e-03
1.498690249987452835e-03,2.686829737544146695e-184,1.240753570246888593e-03,1.299437489261138189e-03
1.501436231195086603e-03,5.843037907646017301e-184,1.253276951947722689e-03,1.180470919537751802e-03
1.504189766206024802e-03,1.269779846254103740e-183,1.265584417983772530e-03,1.252475975976966418e-03
1.506950882751172463e-03,2.757460652296286028e-183,1.277674349636736791e-03,1.236457829167613093e-03
1.509719608688802998e-03,5.983859482894172872e-183,1.289545495303381006e-03,1.261993148198071752e-03
1.512495972005262288e-03,1.297611296086818162e-182,1.301196963927382915e-03,1.217757720931718270e-03
1.515280000815675144e-03,2.811894465075609336e-182,1.312628217580880325e-03,1.260660920546653263e-03
1.518071723364657413e-03,6.088980519123909835e-182,1.323839063243673802e-03,1.301452149944105343e-03
1.520871168027030252e-03,1.317593126759410481e-181,1.334829643830175421e-03,1.289495497096687475e-03
1.523678363308545673e-03,2.849110052918709759e-181,1.345600428516024278e-03,1.257439937082120620e-03
1.526493337846606888e-03,6.156420815735017877e-181,1.356152202417839443e-03,1.299728723907694851e-03
1.529316120411001231e-03,1.329347548799986460e-180,1.366486055680793182e-03,1.388023792248435206e-03
1.532146739904637197e-03,2.868401550932049980e-180,1.376603372029621851e-03,1.367458955005185607e-03
1.534985225364279750e-03,6.184897784028839178e-180,1.386505816839311367e-03,1.400314633462647730e-03
1.537831605961297553e-03,1.332650519266107449e-179,1.396195324782029861e-03,1.379292562979177877e-03
1.540685911002413451e-03,2.869400618008978426e-179,1.405674087106917151e-03,1.379818476989194123e-03
1.543548169930456047e-03,6.173867014729241946e-179,1.414944538609104593e-03,1.420373228886834998e-03
1.546418412325120803e-03,1.327438843837645481e-178,1.424009344343844406e-03,1.430970063231579419e-03
1.549296667903734192e-03,2.852088133433943476e-178,1.432871386140845051e-03,1.433111886283696106e-03
1.552182966522021963e-03,6.123539587393886281e-178,1.441533748972920843e-03,1.455671320905015846e-03
1.555077338174883257e-03,1.313812187649642858e-177,1.449999707231809784e-03,1.479270371022008016e-03
1.557979812997171455e-03,2.816794805490952813e-177,1.458272710962575311e-03,1.576286002271222800e-03
1.560890421264476751e-03,6.034875352864607686e-177,1.466356372106332982e-03,1.511936373708501610e-03
1.563809193393915454e-03,1.292029905475994576e-176,1.474254450799220365e-03,1.535557570423838484e-03
1.566736159944927742e-03,2.764190665012290764e-176,1.481970841773511344e-03,1.446702299659317773e-03
1.569671351620073032e-03,5.909552487415162931e-176,1.489509560904626320e-03,1.524151545702868808e-03
1.572614799265837065e-03,1.262502832107676332e-175,1.496874731945493616e-03,1.435583378813908234e-03
1.575566533873444834e-03,2.695263910171088783e-175,1.504070573487321363e-03,1.539610174853276673e-03
1.578526586579671138e-03,5.749914667747481704e-175,1.511101386183340018e-03,1.549813134925332337e-03
1.581494988667665877e-03,1.225780395963865875e-174,1.517971540269487472e-03,1.495708105733065422e-03
1.584471771567779125e-03,2.611290035650158674e-174,1.524685463413381036e-03,1.520520861530783160e-03
1.587456966858392720e-03,5.558898189748905549e-174,1.531247628920235021e-03,1.556880677008575572e-03
1.590450606266757046e-03,1.182533620584514921e-173,1.537662544321665185e-03,1.575549570902478377e-03
1.593452721669837147e-03,2.513792593321625211e-173,1.543934740370607765e-03,1.453966803720480473e-03
1.596463345095156666e-03,5.339942196667281658e-173,1.550068760462864704e-03,1.529148035670404486e-03
1.599482508721655240e-03,1.133534748508872175e-172,1.556069150503081554e-03,1.497263287709765280e-03
1.602510244880548697e-03,2.404497270174552038e-172,1.561940449230310880e-03,1.610234192787108861e-03
1.605546586056191653e-03,5.096885848700093036e-172,1.567687179015696047e-03,1.533172088956872648e-03
1.608591564886950077e-03,1.079634351202294424e-171,1.573313837142248112e-03,1.537781414809790033e-03
1.611645214166081011e-03,2.285281214954484164e-171,1.578824887574211983e-03,1.507336029007162086e-03
1.614707566842610341e-03,4.833856722604841915e-171,1.584224753221106542e-03,1.520779288758525869e-03
1.617778656022225746e-03,1.021736870923118405e-170,1.589517808699218195e-03,1.560479220926885759e-03
1.620858514968170298e-03,2.158119686600976218e-170,1.594708373591105987e-03,1.684126764650218993e-03
1.623947177102141480e-03,4.555154957473840176e-170,1.599800706201572878e-03,1.539042793123859788e-03
1.627044676005199317e-03,9.607755726147834948e-170,1.604798997806571037e-03,1.655121632437316342e-03
1.630151045418680141e-03,2.025032130718816701e-169,1.609707367389616711e-03,1.595832404273847625e-03
1.633266319245112522e-03,4.265137656800433611e-169,1.614529856858561282e-03,1.631223574606461809e-03
1.636390531549143830e-03,8.976878661819753350e-169,1.619270426733917211e-03,1.624619789350199460e-03
1.639523716558473083e-03,1.888029717486467143e-168,1.623932952298457561e-03,1.633442309115748330e-03
1.642665908664784442e-03,3.968107827605282814e-168,1.628521220196424424e-03,1.605664554875261326e-03
1.645817142424694157e-03,8.333918950520850141e-168,1.633038925469467622e-03,1.605972779969787757e-03
1.648977452560700325e-03,1.749066204569521494e-167,1.637489669015296289e-03,1.652536259784807837e-03
1.652146873962136988e-03,3.668211708253714537e-167,1.641876955454090424e-03,1.695334474838342638e-03
1.655325441686138861e-03,7.687651816812434931e-167,1.646204191386827246e-03,1.688409180642263824e-03
1.658513190958611685e-03,1.609993736268070402e-166,1.650474684028985011e-03,1.711272051554861952e-03
1.661710157175205196e-03,3.369347742328799443e-166,1.654691640202476553e-03,1.755914344611169374e-03
1.664916375902297796e-03,7.046259827588616414e-166,1.658858165668164551e-03,1.661429481894526527e-03
1.668131882877986211e-03,1.472524874074414837e-165,1.662977264780963593e-03,1.672646114027183384e-03
1.671356714013078407e-03,3.075089739368047020e-165,1.667051840449261958e-03,1.683942158487269219e-03
1.674590905392098423e-03,6.417178459527401625e-165,1.671084694380232764e-03,1.670521430083028334e-03
1.677834493274297069e-03,1.338201795576684252e-164,1.675078527592560335e-03,1.714566939604315844e-03
1.681087514094663704e-03,2.788625972009674975e-164,1.679035941178131036e-03,1.713260828569195329e-03
1.684350004464953620e-03,5.806976865504229642e-164,1.682959437294366013e-03,1.609665586079345135e-03
1.687622001174716524e-03,1.208373220895497617e-163,1.686851420369066875e-03,1.719130667018788864e-03
1.690903541192333029e-03,2.512715142007345368e-163,1.690714198499941590e-03,1.698976451092088207e-03
1.694194661666058527e-03,5.221275267399173217e-163,1.694549985031297903e-03,1.754815684853132818e-03
1.697495399925077466e-03,1.084179250762819960e-162,1.698360900290822682e-03,1.657372476188129998e-03
1.700805793480557847e-03,2.249659351418685909e-162,1.702148973469814423e-03,1.686677228564138677e-03
1.704125880026718725e-03,4.664698723176110768e-162,1.705916144630755535e-03,1.719340311575163864e-03
1.707455697441903793e-03,9.665439482396381715e-162,1.709664266826669112e-03,1.776515554496365269e-03
1.710795283789660155e-03,2.001293481754970914e-161,1.713395108317289969e-03,1.718184582891885788e-03
1.714144677319828173e-03,4.140865498108440997e-161,1.717110354867719402e-03,1.775356356315265990e-03
1.717503916469633905e-03,8.561751840697196304e-161,1.720811612115869969e-03,1.750278365158163766e-03
1.720873039864792391e-03,1.768989747293058173e-160,1.724500407995692040e-03,1.781041846219280330e-03
1.724252086320621777e-03,3.652406981256632310e-160,1.728178195203851049e-03,1.789907817257253494e-03
1.727641094843155277e-03,7.535710069787078403e-160,1.731846353698229986e-03,1.671854946898107845e-03
1.731040104630269822e-03,1.553675674355131111e-159,1.735506193217333350e-03,1.774953669493107341e-03
1.734449155072821007e-03,3.201015076295387375e-159,1.739158955810374187e-03,1.780202852942204973e-03
1.737868285755780852e-03,6.590316035417166945e-159,1.742805818368531193e-03,1.757279964234081298e-03
1.741297536459387920e-03,1.355863381598038514e-158,1.746447895148562192e-03,1.708272013049842719e-03
1.744736947160306986e-03,2.787512286584177327e-158,1.750086240280645080e-03,1.725221075173257899e-03
1.748186558032789779e-03,5.726757816636572354e-158,1.753721850252994499e-03,1.785572479344532627e-03
1.751646409449850693e-03,1.175687802790598354e-157,1.757355666366468457e-03,1.791311987576322444e-03
1.755116541984448782e-03,2.411939313221196836e-157,1.760988577153013972e-03,1.786462138451407619e-03
1.758596996410673446e-03,4.944608469334616871e-157,1.764621420752431448e-03,1.770802151810368019e-03
1.762087813704945509e-03,1.012951399607834817e-156,1.768254987242535254e-03,1.677211106775085584e-03
1.765589035047222853e-03,2.073654877905538491e-156,1.771890020918363536e-03,1.833873875664442403e-03
1.769100701822213205e-03,4.242047379399492322e-156,1.775527222516657278e-03,1.723299714012139962e-03
1.772622855620597333e-03,8.671729461435212542e-156,1.779167251382333254e-03,1.753039699606642873e-03
1.776155538240262654e-03,1.771442640138044956e-155,1.782810727574196978e-03,1.757395307832536292e-03
1.779698791687540091e-03,3.616093377201351245e-155,1.786458233907615382e-03,1.741187972898859942e-03
1.783252658178453506e-03,7.376381114283173871e-155,1.790110317932291093e-03,1.738574095578414216e-03
1.786817180139979762e-03,1.503620458876110584e-154,1.793767493843733633e-03,1.734172573199030962e-03
1.790392400211310948e-03,3.062839741986884710e-154,1.797430244327385615e-03,1.765485946237036006e-03
1.793978361245131574e-03,6.234497992353454627e-154,1.801099022334740627e-03,1.832738659135452804e-03
1.797575106308903345e-03,1.268147802721952628e-153,1.804774252791116690e-03,1.828473702953277349e-03
1.801182678686155583e-03,2.577682517451286425e-153,1.808456334235065141e-03,1.850106125354194272e-03
1.804801121877789086e-03,5.235765015638624845e-153,1.812145640389676215e-03,1.833547956224334564e-03
1.808430479603388881e-03,1.062727786949023734e-152,1.815842521666288746e-03,1.730313521376735005e-03
1.812070795802540662e-03,2.155535073181141880e-152,1.819547306601367043e-03,1.761232994092953516e-03
1.815722114636163492e-03,4.368972586686218144e-152,1.823260303227487332e-03,1.894594821598941320e-03
1.819384480487849657e-03,8.849010574002925231e-152,1.826981800379593639e-03,1.822641945358238150e-03
1.823057937965211033e-03,1.791023469088581428e-151,1.830712068937815707e-03,1.860575755881006170e-03
1.826742531901237804e-03,3.622421708614092563e-151,1.834451363008311959e-03,1.770623724388597966e-03
1.830438307355668898e-03,7.321295014645448275e-151,1.838199921043697470e-03,1.792713747915601228e-03
1.834145309616365014e-03,1.478658809665100942e-150,1.841957966904752848e-03,1.864417601624986749e-03
1.837863584200699662e-03,2.984277546137024431e-150,1.845725710865162407e-03,1.847359049200632524e-03
1.841593176856955389e-03,6.018685021944244763e-150,1.849503350561126740e-03,2.014878804472837633e-03
1.845334133565728913e-03,1.212984325243801736e-149,1.853291071887741386e-03,1.919674525872881819e-03
1.849086500541351858e-03,2.442867603215383679e-149,1.857089049844069112e-03,1.946612406933622124e-03
1.852850324233313879e-03,4.916271284832877930e-149,1.860897449328870797e-03,1.886313702341069340e-03
1.856625651327702261e-03,9.886963200571254623e-149,1.864716425888970778e-03,1.830236600106901947e-03
1.860412528748650856e-03,1.986923581247788891e-148,1.868546126422238789e-03,1.886313016812753585e-03
1.864211003659794856e-03,3.990162464180846101e-148,1.872386689837161975e-03,1.843861224848757259e-03
1.868021123465740327e-03,8.007393330758847089e-148,1.876238247670979336e-03,1.886063230097436002e-03
1.871842935813545442e-03,1.605768423386536477e-147,1.880100924668313489e-03,1.854467925570669638e-03
1.875676488594206492e-03,3.217850279645352851e-147,1.883974839322213359e-03,1.842341573777890812e-03
1.879521829944159938e-03,6.443768382769021629e-147,1.887860104379490613e-03,1.896457525679947536e-03
1.883379008246794219e-03,1.289451994279643746e-146,1.891756827312181298e-03,1.941895152115974887e-03
1.887248072133969161e-03,2.578467152050440905e-146,1.895665110756932642e-03,1.891128721097757844e-03
1.891129070487549899e-03,5.152395550310314164e-146,1.899585052924051502e-03,1.877781430341181551e-03
1.895022052440952518e-03,1.028840278292776570e-145,1.903516747977904719e-03,1.866893419136158401e-03
1.898927067380695765e-03,2.052947712590514027e-145,1.907460286390319157e-03,1.885992161522902439e-03
1.902844164947969019e-03,4.093539512410259654e-145,1.911415755268539192e-03,1.903804540536016381e-03
1.906773395040211108e-03,8.156639225235299602e-145,1.915383238659279291e-03,1.926537763574076665e-03
1.910714807812695631e-03,1.624107188939678956e-144,1.919362817830324490e-03,1.893429733328789912e-03
1.914668453680134054e-03,3.231538186480366915e-144,1.923354571531069165e-03,1.997917273312783959e-03
1.918634383318288577e-03,6.425324475258861301e-144,1.927358576233347606e-03,1.971519509487901223e-03
1.922612647665593007e-03,1.276650455338749041e-143,1.931374906353816893e-03,2.033682048220781732e-03
1.926603297924788395e-03,2.534779073981860920e-143,1.935403634459121561e-03,1.919164420782711088e-03
1.930606385564575351e-03,5.029205596300823729e-143,1.939444831454986478e-03,1.971897413250772377e-03
1.934621962321266594e-03,9.971255291735511573e-143,1.943498566760338848e-03,1.970458432427995774e-03
1.938650080200462252e-03,1.975565572698663043e-142,1.947564908467499948e-03,1.930283069064890828e-03
1.942690791478734720e-03,3.911327950044970819e-142,1.951643923489430627e-03,2.027547552258447943e-03
1.946744148705321096e-03,7.738346672770931568e-142,1.955735677694956254e-03,1.935042844608495438e-03
1.950810204703832314e-03,1.529900902380691593e-141,1.959840236032842596e-03,1.909439280606270179e-03
1.954889012573978336e-03,3.022522816947715420e-141,1.963957662645559200e-03,2.029719091132669694e-03
1.958980625693295275e-03,5.967151216124235784e-141,1.968088020973489220e-03,2.007634497034993786e-03
1.963085097718895739e-03,1.177214675752942546e-140,1.972231373850319262e-03,1.966874541732929315e-03
1.967202482589227187e-03,2.320787945078247120e-140,1.976387783590291200e-03,1.998031642303923529e-03
1.971332834525842213e-03,4.572002094102930007e-140,1.980557312067946114e-03,1.932388175982779508e-03
1.975476208035185314e-03,9.000539655794504813e-140,1.984740020790961863e-03,1.933985444677184659e-03
1.979632657910390496e-03,1.770605655884181725e-139,1.988935970966628549e-03,2.001986772295361646e-03
1.983802239233092759e-03,3.480697753727605952e-139,1.993145223562491856e-03,1.911795989824659724e-03
1.987985007375249989e-03,6.837572545471298118e-139,1.997367839361634343e-03,1.975139468026253925e-03
1.992181018000988273e-03,1.342235588617154976e-138,2.001603879013041844e-03,1.993405244157173389e-03
1.996390327068445041e-03,2.632974909713037663e-138,2.005853403077474759e-03,2.008364042244670765e-03
2.000612990831640396e-03,5.161261456717650890e-138,2.010116472069225450e-03,2.085036989100650089e-03
2.004849065842354960e-03,1.011011667508032971e-137,2.014393146494108684e-03,2.000266259641479000e-03
2.009098608952022448e-03,1.979008427307869947e-137,2.018683486884030771e-03,1.946859916111874948e-03
2.013361677313636137e-03,3.871063433496774970e-137,2.022987553828421887e-03,2.001762054421634546e-03
2.017638328383674837e-03,7.566657925010486044e-137,2.027305408002821711e-03,1.998358219834578051e-03
2.021928619924032340e-03,1.477981785424566317e-136,2.031637110194872090e-03,1.983903670582986244e-03
2.026232610003972021e-03,2.884863250463407269e-136,2.035982721327953080e-03,1.997806368652298766e-03
2.030550357002091841e-03,5.626943432551192138e-136,2.040342302482684410e-03,2.130999310694085217e-03
2.034881919608300203e-03,1.096758567031973898e-135,2.044715914916480585e-03,2.087040625355893013e-03
2.039227356825811747e-03,2.136193995826319703e-135,2.049103620081353053e-03,2.031658694067219485e-03
2.043586727973160933e-03,4.157780068863015221e-135,2.053505479640124667e-03,1.989649662509944492e-03
2.047960092686218220e-03,8.086740450900128489e-135,2.057921555481202151e-03,2.175638360589014948e-03
2.052347510920235745e-03,1.571725372517998151e-134,2.062351909732056641e-03,1.988680363872958289e-03
2.056749042951900360e-03,3.052607677459223322e-134,2.066796604771531983e-03,2.022468273543432185e-03
2.061164749381401429e-03,5.924565272874721668e-134,2.071255703241099179e-03,2.147999026640981784e-03
2.065594691134518563e-03,1.149034724226098750e-133,2.075729268055163685e-03,2.101959993053627209e-03
2.070038929464724543e-03,2.226901391251618882e-133,2.080217362410521822e-03,2.132820968443833055e-03
2.074497525955299945e-03,4.312806646806069957e-133,2.084720049795052172e-03,2.048809166159286377e-03
2.078970542521465549e-03,8.346610706110806224e-133,2.089237393995720463e-03,2.046694387330705647e-03
2.083458041412536432e-03,1.614178269229421640e-132,2.093769459105972956e-03,2.043787435174918704e-03
2.087960085214081267e-03,3.119492910754566846e-132,2.098316309532580366e-03,2.007672808881266497e-03
2.092476736850109372e-03,6.024315080569143028e-132,2.102878010001993890e-03,2.047763932485296631e-03
2.097008059585267307e-03,1.162579127197448255e-131,2.107454625566264079e-03,2.139242953944336251e-03
2.101554117027053248e-03,2.241963475944065143e-131,2.112046221608568537e-03,2.148104730568463003e-03
2.106114973128048705e-03,4.320417467923431611e-131,2.116652863848401348e-03,2.163118791836462183e-03
2.110690692188171933e-03,8.319822517458818502e-131,2.121274618346448513e-03,2.138539030220299852e-03
2.115281338856937841e-03,1.601008282536422599e-130,2.125911551509200581e-03,2.118807258819782775e-03
2.119886978135744355e-03,3.078677969074864847e-130,2.130563730093320250e-03,2.153291728939594335e-03
2.124507675380175268e-03,5.915972104509298570e-130,2.135231221209799631e-03,2.272016243609193114e-03
2.129143496302313490e-03,1.136002113787605878e-129,2.139914092327937101e-03,2.143614596566135316e-03
2.133794506973081193e-03,2.179833536232460022e-129,2.144612411279144155e-03,2.231180878044520914e-03
2.138460773824593392e-03,4.179830671816175579e-129,2.149326246260617815e-03,2.165281766172335014e-03
2.143142363652528453e-03,8.009127651269253535e-129,2.154055665838880765e-03,2.200782902918623201e-03
2.147839343618517666e-03,1.533567552356280767e-128,2.158800738953225648e-03,2.173860614754876460e-03
2.152551781252557816e-03,2.934349060746506727e-128,2.163561534919053106e-03,2.175571072426195091e-03
2.157279744455432857e-03,5.610632292898510286e-128,2.168338123431143034e-03,2.256143748360492449e-03
2.162023301501163342e-03,1.072020295713160983e-127,2.173130574566847339e-03,2.138655972787849996e-03
2.166782521039470159e-03,2.046846980011706611e-127,2.177938958789232826e-03,2.104347581404886376e-03
2.171557472098257363e-03,3.905340576719016116e-127,2.182763346950174210e-03,2.161796922978286798e-03
2.176348224086114072e-03,7.446010073851983480e-127,2.187603810293401591e-03,2.292868670385895657e-03
2.181154846794841531e-03,1.418663821147495213e-126,2.192460420457524074e-03,2.221081641918584444e-03
2.185977410401987540e-03,2.701012138050639733e-126,2.197333249479021741e-03,2.213636310626766225e-03
2.190815985473411678e-03,5.138835866559034663e-126,2.202222369795218959e-03,2.311115545082093482e-03
2.195670642965868741e-03,9.769990147394618972e-126,2.207127854247241654e-03,2.105885188550936631e-03
2.200541454229603885e-03,1.856156853510729157e-125,2.212049776082968076e-03,2.238472651568365265e-03
2.205428491010978133e-03,3.523922828682934989e-125,2.216988208959966115e-03,2.201855063665263991e-03
2.210331825455112524e-03,6.685428883589295766e-125,2.221943226948436701e-03,2.133008757332752539e-03
2.215251530108543112e-03,1.267428083548261207e-124,2.226914904534149815e-03,2.186088690110106741e-03
2.220187677921909349e-03,2.401090596600536965e-124,2.231903316621390489e-03,2.313448746536377054e-03
2.225140342252660691e-03,4.545534268795893883e-124,2.236908538535903931e-03,2.216802806194983957e-03
2.230109596867774907e-03,8.599089991529443583e-124,2.241930646027856695e-03,2.259473187203856707e-03
2.235095515946507183e-03,1.625590752518003649e-123,2.246969715274803065e-03,2.188595517944182545e-03
2.240098174083162644e-03,3.070867756860585074e-123,2.252025822884660966e-03,2.209456183168677541e-03
2.245117646289881020e-03,5.796985009193161319e-123,2.257099045898712606e-03,2.265829651580795415e-03
2.250154007999447762e-03,1.093539332735256045e-122,2.262189461794605547e-03,2.207056442356946421e-03
2.255207335068133787e-03,2.061378813044615981e-122,2.267297148489381096e-03,2.391448424123000620e-03
2.260277703778544329e-03,3.883044574446992928e-122,2.272422184342517883e-03,2.235129262433366033e-03
2.265365190842502912e-03,7.309339130136527397e-122,2.277564648158988871e-03,2.238694380200381435e-03
2.270469873403949644e-03,1.374912362369826539e-121,2.282724619192346999e-03,2.213380237537099400e-03
2.275591829041864658e-03,2.584419980172124154e-121,2.287902177147819929e-03,2.268269756279477252e-03
2.280731135773221476e-03,4.854475698006565840e-121,2.293097402185439917e-03,2.292361243782929745e-03
2.285887872055947755e-03,9.111979648225487611e-121,2.298310374923180199e-03,2.326470793200317248e-03
2.291062116791928085e-03,1.709126937748071607e-120,2.303541176440125193e-03,2.346594620594498123e-03
2.296253949330018512e-03,3.203517241226816817e-120,2.308789888279661091e-03,2.237431889856607032e-03
2.301463449469087503e-03,6.000272588632810760e-120,2.314056592452685534e-03,2.391996126933511845e-03
2.306690697461081206e-03,1.123068028154749433e-119,2.319341371440848502e-03,2.239784816098660744e-03
2.311935774014119930e-03,2.100546574464422122e-119,2.324644308199811434e-03,2.301867593811564132e-03
2.317198760295604600e-03,3.925994938551314231e-119,2.329965486162535824e-03,2.462374922092668960e-03
2.322479737935362245e-03,7.332605558567846574e-119,2.335304989242595244e-03,2.347589930531527019e-03
2.327778789028810569e-03,1.368541842882023662e-118,2.340662901837513819e-03,2.356640742345988623e-03
2.333095996140144204e-03,2.552401584108330288e-118,2.346039308832128557e-03,2.399851441557363310e-03
2.338431442305557821e-03,4.756977518349041441e-118,2.351434295601985500e-03,2.328099345268706127e-03
2.343785211036479663e-03,8.859401026429114707e-118,2.356847948016752362e-03,2.336455262135926983e-03
2.349157386322842361e-03,1.648803083355435685e-117,2.362280352443668022e-03,2.306384461853991982e-03
2.354548052636380642e-03,3.066368814910158135e-117,2.367731595751011980e-03,2.403926167248935427e-03
2.359957294933944655e-03,5.698639136940452166e-117,2.373201765311610222e-03,2.464422935349005681e-03
2.365385198660850154e-03,1.058300720216860935e-116,2.378690949006358451e-03,2.369264691534634509e-03
2.370831849754256003e-03,1.963985130293127383e-116,2.384199235227786075e-03,2.405335066490897622e-03
2.376297334646559033e-03,3.642155361798954224e-116,2.389726712883638408e-03,2.352146034859914706e-03
2.381781740268824020e-03,6.749473674246669764e-116,2.395273471400495308e-03,2.373068724631732969e-03
2.387285154054247065e-03,1.249892081069074897e-115,2.400839600727414525e-03,2.329502082459974401e-03
2.392807663941630240e-03,2.312950261458432213e-115,2.406425191339610185e-03,2.408127678878439065e-03
2.398349358378897445e-03,4.277118070010225705e-115,2.412030334242155991e-03,2.387085579437965219e-03
2.403910326326641912e-03,7.903643685147776350e-115,2.417655120973719648e-03,2.532999830818670993e-03
2.409490657261685858e-03,1.459468195121575327e-114,2.423299643610334151e-03,2.377316864477863403e-03
2.415090441180683944e-03,2.693103757474720697e-114,2.428963994769191195e-03,2.508233016876641915e-03
